year,city,state,shape,latitude,longitude
1974,Van Nuys,CA,Sphere,34.1866667,-118.4480556
1974,Juneau,WI,Other,43.4055556,-88.705
1974,Kent,WA,Cylinder,47.3811111,-122.2336111
1974,New Orleans,LA,Other,29.9544444,-90.075
1975,North Charleston,SC,Formation,32.8544444,-79.975
1975,Maricopa,AZ,Other,33.0580556,-112.0469444
1975,Rockville,MD,Disk,39.0838889,-77.1530556
1975,Rockville,MD,Disk,39.0838889,-77.1530556
1975,Killeen,TX,Other,31.1169444,-97.7275
1975,Batesville,MS,Sphere,34.3113889,-89.9441667
1975,Marianna,FL,Disk,30.7741667,-85.2269444
1975,Marion,KS,Formation,38.3483333,-97.0169444
1975,Nesconset,NY,Disk,40.8519444,-73.1544444
1975,Williston,ND,Disk,48.1333333,-103.6333333
1975,Monroe,NY,Disk,41.3305556,-74.1872222
1975,Swannanoa,NC,Other,35.5977778,-82.4
1975,Ryegate (South Of),MT,Sphere,46.2972222,-109.2580556
1975,Collinsville,AL,Pyramid,34.2638889,-85.8605556
1975,Greenwich,CT,Sphere,41.0263889,-73.6288889
1975,Enterprise,AL,Other,31.315,-85.8552778
1975,Indian Rocks Beach,FL,Formation,27.875,-82.8513889
1975,Baytown,TX,Formation,29.7352778,-94.9772222
1975,Muscatine (Area Approx. 7Mi South),IA,Sphere,41.4244444,-91.0430556
1975,Limestone,ME,Formation,46.9086111,-67.8263889
1975,Kent,CT,Sphere,41.7247222,-73.4775
1975,Natchez,MS,Sphere,31.5602778,-91.4030556
1975,Ware Shoals,SC,Sphere,34.3983333,-82.2469444
1975,Falls Church,VA,Sphere,38.8822222,-77.1713889
1975,Woodbridge,VA,Sphere,38.6580556,-77.25
1975,Albany,NY,Sphere,42.6525,-73.7566667
1975,Catskill,NY,Formation,42.2172222,-73.865
1975,Anderson,IN,Disk,40.1052778,-85.6802778
1975,Girard,OH,Sphere,41.1538889,-80.7016667
1975,Miami,FL,Disk,25.7738889,-80.1938889
1975,Townsend,MA,Sphere,42.6666667,-71.7055556
1975,Miami,FL,Sphere,25.7738889,-80.1938889
1975,Jamestown,NY,Sphere,42.0969444,-79.2355556
1975,Phoenix,AZ,Disk,33.4483333,-112.0733333
1975,Waverly Hall,GA,Sphere,32.6833333,-84.7383333
1975,Denver,CO,Disk,39.7391667,-104.9841667
1975,Miami,FL,Sphere,25.7738889,-80.1938889
1975,Hudson,NY,Other,42.2527778,-73.7913889
1975,Yonkers,NY,Formation,40.9311111,-73.8991667
1976,Washougal,WA,Sphere,45.5827778,-122.3522222
1976,Hartville,OH,Disk,40.9636111,-81.3313889
1976,Fairport,NY,Disk,43.0986111,-77.4422222
1976,Thonotosassa,FL,Disk,28.0611111,-82.3025
1976,Emporia,KS,Disk,38.4038889,-96.1813889
1976,Mineral King,CA,Disk,36.4508333,-118.5938889
1976,Rochester,NY,Other,43.1547222,-77.6158333
1976,Eveleth,MN,Formation,47.4625,-92.5397222
1976,Almena,WI,Other,45.4169444,-92.0327778
1976,Avon Lake,OH,Sphere,41.5052778,-82.0283333
1976,Soldotna,AK,Sphere,60.4877778,-151.0583333
1976,St. George (Ut) To Las Vegas (Nv),UT,Formation,37.1041667,-113.5833333
1976,Dallas,TX,Disk,32.7833333,-96.8
1976,Louisville,KY,Disk,38.2541667,-85.7594444
1976,Los Angeles,CA,Sphere,34.0522222,-118.2427778
1976,Garland,TX,Other,32.9125,-96.6386111
1976,Hartsville,SC,Formation,34.3738889,-80.0736111
1976,Wilmington,DE,Disk,39.7458333,-75.5469444
1976,Tarboro,NC,Disk,35.8966667,-77.5361111
1976,Oscoda,MI,Disk,44.4202778,-83.3308333
1976,Taunton,MA,Sphere,41.9,-71.0902778
1976,Bedford Heights,OH,Sphere,41.4169444,-81.5275
1977,San Antonio,TX,Other,29.4238889,-98.4933333
1977,Louisville,KY,Formation,38.2541667,-85.7594444
1977,Fountain Valley,CA,Other,33.7091667,-117.9527778
1977,Ferndale,CA,Other,40.5763889,-124.2627778
1977,Biloxi,MS,Pyramid,30.3958333,-88.8852778
1977,Orlando,FL,Disk,28.5380556,-81.3794444
1977,Kennewick,WA,Formation,46.2113889,-119.1361111
1977,East Haven,CT,Disk,41.2761111,-72.8688889
1977,Christmas Valley,OR,Formation,43.2363889,-120.6358333
1977,Akron,OH,Cylinder,41.0813889,-81.5191667
1977,Jackson,MS,Pyramid,32.2986111,-90.1847222
1977,Marble Hill,MO,Other,37.3058333,-89.9702778
1977,Newburgh,NY,Disk,41.5033333,-74.0108333
1977,Sidney,MT,Sphere,47.7166667,-104.1558333
1977,Kalamazoo,MI,Disk,42.2916667,-85.5872222
1977,Bensalem,PA,Sphere,40.1044444,-74.9516667
1977,Great Neck,NY,Cylinder,40.8005556,-73.7288889
1977,New York City (Manhattan),NY,Sphere,40.7141667,-74.0063889
1977,La Crescenta,CA,Formation,34.2241667,-118.2391667
1977,Westminster,CA,Disk,33.7591667,-118.0058333
1977,Aurora,CO,Sphere,39.7294444,-104.8313889
1977,Tahlequah,OK,Pyramid,35.9152778,-94.9697222
1977,Saint James,NY,Sphere,40.8788889,-73.1572222
1977,New Hampton,NH,Other,43.6055556,-71.6547222
1978,Elmont,NY,Rectangle,40.7008333,-73.7133333
1978,Brighton,MI,Sphere,42.5294444,-83.7802778
1978,Windsor,NC,Pyramid,35.9983333,-76.9463889
1978,Lecompte,LA,Disk,31.0944444,-92.4002778
1978,Francesville,IN,Cylinder,40.9852778,-86.8794444
1978,Dyersburg,TN,Pyramid,36.0344444,-89.3855556
1978,Alpine,AZ,Sphere,33.8480556,-109.1425
1978,Atlanta,GA,Disk,33.7488889,-84.3880556
1978,Des Plaines,IL,Disk,42.0333333,-87.8833333
1978,Coeur D&#39Alene,ID,Sphere,47.6777778,-116.7794444
1978,Cherokee,NC,Formation,35.4741667,-83.315
1978,Candia,NH,Sphere,43.0777778,-71.2772222
1978,Greenwich,CT,Sphere,41.0263889,-73.6288889
1978,Birmingham,AL,Sphere,33.5205556,-86.8025
1978,Virginia City,MT,Other,45.2938889,-111.9452778
1978,Monroe,NC,Disk,34.9852778,-80.5497222
1978,Burt,MI,Sphere,43.2366667,-83.9063889
1978,Philadelphia,PA,Sphere,39.9522222,-75.1641667
1978,Hudson,NH,Sphere,42.7647222,-71.4402778
1978,Carlyss,LA,Formation,30.1686111,-93.3758333
1978,Culloden,WV,Other,38.42,-82.0555556
1978,Mooresville,IN,Other,39.6127778,-86.3741667
1978,June Lake,CA,Disk,37.7797222,-119.0744444
1978,San Angelo,TX,Chevron,31.4636111,-100.4366667
1978,Troy,NY,Formation,42.7283333,-73.6922222
1978,Las Vegas (??),NV,Cylinder,36.175,-115.1363889
1978,June Lake,CA,Disk,37.7797222,-119.0744444
1978,Sagle,ID,Sphere,48.2025,-116.5466667
1978,North Branch (South Of),MN,Rectangle,45.5113889,-92.98
1978,Grand Rapids,MI,Disk,42.9633333,-85.6680556
1978,Grand Rapids,MI,Disk,42.9633333,-85.6680556
1979,Poughkeepsie,NY,Chevron,41.7002778,-73.9213889
1979,San Diego,CA,Sphere,32.7152778,-117.1563889
1979,Security,CO,Other,38.7583333,-104.7425
1979,Lomita,CA,Disk,33.7922222,-118.3141667
1979,Columbia,MD,Rectangle,39.2402778,-76.8397222
1979,Buffalo,NY,Formation,42.8863889,-78.8786111
1979,Olympia,WA,Disk,47.0380556,-122.8994444
1979,Pittsburgh,PA,Disk,40.4405556,-79.9961111
1979,Cranbury,NJ,Formation,40.3161111,-74.5141667
1979,Barnegat,NJ,Rectangle,39.7530556,-74.2233333
1979,Ellwood City,PA,Other,40.8616667,-80.2866667
1979,Bemidji,MN,Other,47.4736111,-94.88
1979,Gig Harbor,WA,Sphere,47.3294444,-122.5788889
1979,Arcadia,LA,Disk,32.5488889,-92.92
1979,Emerson,NJ,Rectangle,40.9761111,-74.0266667
1979,Ypsilanti,MI,Other,42.2411111,-83.6130556
1979,Wickenburg (Near),AZ,Formation,33.9686111,-112.7288889
1979,Meriden,CT,Formation,41.5380556,-72.8075
1979,Haltom City,TX,Pyramid,32.7994444,-97.2688889
1979,Honolulu,HI,Sphere,21.3069444,-157.8583333
1979,Austin,TX,Pyramid,30.2669444,-97.7427778
1979,Wassaic (Falls Village),NY,Sphere,41.8038889,-73.5591667
1979,Orange,CA,Disk,33.7877778,-117.8522222
1979,Redondo Beach,CA,Disk,33.8491667,-118.3875
1979,Detroit,MI,Formation,42.3313889,-83.0458333
1979,Clarksburg,WV,Disk,39.2805556,-80.3447222
1980,Houston,TX,Sphere,29.7630556,-95.3630556
1980,Dallas,TX,Other,32.7833333,-96.8
1980,Manchester,NH,Formation,42.9955556,-71.4552778
1980,Fremont,CA,Other,37.5483333,-121.9875
1980,Mountainboro,AL,Sphere,34.1469444,-86.1305556
1980,Shirleysburg,PA,Formation,40.2977778,-77.8744444
1980,Jersey City,NJ,Cylinder,40.7280556,-74.0780556
1980,Columbus,OH,Sphere,39.9611111,-82.9988889
1980,Guntersville,AL,Pyramid,34.3580556,-86.2947222
1980,Avon,CT,Disk,41.8097222,-72.8311111
1980,Denham Springs,LA,Rectangle,30.4866667,-90.9561111
1980,Boonville,CA,Sphere,39.0091667,-123.365
1980,Jonesport,ME,Sphere,44.5327778,-67.5988889
1980,Boonville,CA,Sphere,39.0091667,-123.365
1980,Bald Knob,AR,Pyramid,35.3097222,-91.5677778
1980,Corpus Christi (Maliki Beach),TX,Disk,27.8002778,-97.3961111
1980,Dallas,TX,Pyramid,32.7833333,-96.8
1980,Irvine,CA,Sphere,33.6694444,-117.8222222
1980,Detroit,MI,Rectangle,42.3313889,-83.0458333
1980,Richardson,TX,Diamond,32.9480556,-96.7294444
1980,Allenspark,CO,Formation,40.1944444,-105.525
1980,Wind Lake,WI,Disk,42.8294444,-88.1586111
1980,Exeter,NH,Disk,42.9813889,-70.9483333
1980,Lansing,MI,Rectangle,42.7325,-84.5555556
1980,Rochester,IN,Sphere,41.0647222,-86.2158333
1980,Wichita,KS,Cylinder,37.6922222,-97.3372222
1980,Lampasas,TX,Formation,31.0636111,-98.1813889
1980,Indianapolis,IN,Formation,39.7683333,-86.1580556
1980,Chicopee,MA,Diamond,42.1486111,-72.6083333
1980,Clarksburg,WV,Sphere,39.2805556,-80.3447222
1980,Orinda,CA,Sphere,37.8772222,-122.1786111
1980,Alloy,WV,Disk,38.1375,-81.2744444
1981,Hesperia,MI,Sphere,43.5688889,-86.0394444
1981,Beaverton,OR,Cylinder,45.4872222,-122.8025
1981,San Jose,CA,Disk,37.3394444,-121.8938889
1981,Boulder,CO,Disk,40.015,-105.27
1981,Sherwood,OR,Other,45.3566667,-122.8388889
1981,Weed,CA,Disk,41.4227778,-122.385
1981,Columbus,OH,Disk,39.9611111,-82.9988889
1981,Glendora,CA,Other,34.1361111,-117.8644444
1981,San Francisco,CA,Other,37.775,-122.4183333
1981,Lincoln,NE,Sphere,40.8,-96.6666667
1981,El Cajon,CA,Sphere,32.7947222,-116.9616667
1981,El Reno,OK,Disk,35.5322222,-97.9547222
